dataset,system,top1_mean,top1_sd,recall_at_5_mean,recall_at_5_sd
CLINC150,word-char TF-IDF (10 examples),0.8070666666666668,0.003549995652927268,0.9475111111111112,0.004313057979647678
CLINC150,dense example-aware (0 examples),0.6537777777777778,0.0,0.8846666666666667,0.0
CLINC150,dense example-aware (1 examples),0.7440888888888889,0.013314431045826693,0.9428444444444445,0.006145157684141472
CLINC150,dense example-aware (3 examples),0.7989333333333334,0.005271399654834336,0.9665777777777779,0.004514995590826805
CLINC150,dense example-aware (5 examples),0.818888888888889,0.007573508083534212,0.9732,0.0031055505863605594
CLINC150,dense example-aware (10 examples),0.8501333333333333,0.0045259198642136735,0.9799555555555555,0.0013462338871876591
BANKING77,word-char TF-IDF (10 examples),0.7235064935064935,0.012326122422674071,0.9344155844155845,0.003862135471873467
BANKING77,dense example-aware (0 examples),0.6133116883116884,0.0,0.8389610389610389,0.0
BANKING77,dense example-aware (1 examples),0.6756493506493506,0.008152519174993315,0.899155844155844,0.007574752561660528
BANKING77,dense example-aware (3 examples),0.7368181818181818,0.004791574237499559,0.9370129870129871,0.0032790600449227373
BANKING77,dense example-aware (5 examples),0.7834415584415584,0.006775531413866621,0.9527922077922077,0.0031023062819717675
BANKING77,dense example-aware (10 examples),0.831038961038961,0.0053625513823539125,0.9687662337662338,0.001385112273227392
